,Tweets
0,Pres. Trump paid just $750 in federal income taxes the year he ran for president and in his first year in the White… https://t.co/7hFQwSO7rw
1,The @FiveThirtyEight presidential election forecast has Joe Biden with a 77 in 100 chance of winning the Electoral… https://t.co/B4uDJhfi2g
2,"In times of crisis, many companies did not live up to their statements. https://t.co/CXulpDlZGU"
3,"CORONAVIRUS LATEST: https://t.co/r0sce0Ew6z

— ""We're not in a good place,"" Dr. Fauci warns.
— U.S. reports nearly… https://t.co/MOnnP8Uvhk"
4,How A Conservative 6-3 Majority Would Reshape The Supreme Court: https://t.co/fYEKJyp5NT via @FiveThirtyEight
5,Russian opposition leader Alexei Navalny confirms reports that German Chancellor Angela Merkel visited him in a Ber… https://t.co/nOI9Mxh2zP
6,STARTING NOW: @ABC News has the latest headlines from across the globe. Diane Macedo anchors: https://t.co/9oxQUiJSXS
7,Uber can keep operating in London after the ride-hailing company won a court appeal against the refusal by transit… https://t.co/UM6hikd4P6
8,Napa County Sheriff’s Office warns people not to wait 'until the last second to evacuate' the expanding Glass Fire.… https://t.co/ebeUvUxMEk
9,"There were 1,125 patients hospitalized due to COVID-19 across Missouri on Sunday, the highest number the U.S. state… https://t.co/eRl1yYNmTV"
10,Bars and restaurants in the French port city of Marseille and nearby Aix-en-Provence were forced to shut their door… https://t.co/eFluBVleBT
11,There are 22 large wildfires currently burning in California with dozens more burning from Texas to Washington. https://t.co/zdRHfcWtGV
12,"RT @GMA: “That is very concerning to me.”

Dr. Anthony Fauci says now the time is to double down, not ease restrictions, in regards to Flor…"
13,"RT @GMA: Over 2,500 acres are burned and mandatory evacuations are underway in raging California wildfires. @KaynaWhitworth reports.
https:…"
14,"Little Grey and Little White, two beluga whales rescued from captivity, take their first swim in their open water s… https://t.co/6XKATB6TzS"
15,Timelapse footage captures smoke billowing across the ranges from Zogg Fire in California. https://t.co/ljIGToFhGv https://t.co/cwWJLcoYLZ
16,"72-year-old man in England killed by herd of charging cows, making him the second such victim to die in this way in… https://t.co/fb4AfNlaBB"
17,"Shooting outside Detroit strip club leaves six people wounded, police say. https://t.co/Kf62f8dGPf"
18,"""I knew in my heart she was gone. I wasn't ready to accept it, I'm still not ... but you always hold onto that hope… https://t.co/bZjqAHPAqa"
19,"LATEST: There were 36,919 new cases of COVID-19 identified in the United States on Sunday, according to a real-time… https://t.co/uC0UovllSz"
20,"""Our people have fought for generations just to hang onto the land."" https://t.co/UYLZyEk87d"
21,Australian theme park owner fined $2.5 million for safety breaches that led to the deaths of four people on a river… https://t.co/5bOK1hv05O
22,State leaders accused the Postal Service of confusing voters. https://t.co/faWpt3hvId
23,"CORONAVIRUS LATEST: https://t.co/BRBiHoPfu8 

• India confirmed another 82,170 new cases of COVID-19 in the past 24… https://t.co/u6PaLKtrnS"
24,Experts insist there is evidence the virus was not man-made. https://t.co/2M2AmIwo9Z
25,"After her three-year-old died in a furniture tip-over accident, mom makes desperate plea to parents. https://t.co/BncIYpyFsb"
26,"Former Trump campaign manager Brad Parscale was hospitalized after allegedly threatening to harm himself, police sa… https://t.co/6VvYGbpXnD"
27,New polling reveals that those with the smallest financial buffer have sustained a heavy blow. https://t.co/OkQ8v6mGZ8
28,Pres. Trump paid just $750 in federal income taxes the year he ran for president and in his first year in the White… https://t.co/E3w63hUbCG
29,Public health experts have proposed a national COVID-19 strategy based on the Obama administration's HIV/AIDS strat… https://t.co/I1I0Ne5sAQ
30,The ballistics report from the Kentucky State Police could not determine that the boyfriend of Breonna Taylor shot… https://t.co/VPatcUZgF2
31,Prince George was given the fossilized tooth of an extinct giant shark as a gift by David Attenborough. https://t.co/Foyh3Ypt5z
32,Residents hope the city takes aggressive actions to close the racial wealth gap. https://t.co/nF5BwcCRVR
33,"The concept of ""precision"" nutrition is important because every person is unique, Dr. Kevin Hall, senior investigat… https://t.co/Xkl0L8xgCK"
34,The U.S. aviation industry is urging the government to establish COVID-19 testing protocols before international fl… https://t.co/X90qUmfgV0
35,"In June, a black Southwest Airlines flight attendant was moved to tears during a discussion on race with one passen… https://t.co/a5KOUZYE5y"
36,Retired colonel Terry Virts knows a lot about dealing with isolation after having spent over seven months in space.… https://t.co/VFvwuwH3cY
37,Who needs help—and who is getting it—has become even more imperative during a global health emergency.  https://t.co/GZfqrQnGC0
38,The debate over the black square is in some ways a microcosm of a climate that appears to urge people to get involv… https://t.co/3gRQSMKxTM
39,Art can be an escape from or a reaction to the pandemic. https://t.co/XQfn8fGThf
40,"In times of crisis, many companies did not live up to their statements. https://t.co/z7LHDtISKM"
41,Experts insist there is evidence the virus was not man-made. https://t.co/dwBCvtQRAr
42,"For the 50th consecutive day, demonstrators flooded the streets of Minsk and other cities across Belarus, calling f… https://t.co/XhUydDNopd"
43,"If you are struggling with thoughts of suicide or worried about a friend or loved one, help is available. Call the… https://t.co/FiABi5YqRU"
44,"JUST IN: Former Trump campaign manager Brad Parscale was hospitalized after allegedly threatening to harm himself,… https://t.co/1hHaBGRBSv"
45,"On Tuesday, Sept. 29, kindergarten through fifth-grade schools and kindergarten through eighth-grade schools will o… https://t.co/eXhPYvrKRm"
46,"The first point of clarity, despite the president's efforts to cast vote-by-mail as riddled with fraud, is that it'… https://t.co/W99E39yFNV"
47,"""Our people have fought for generations just to hang onto the land."" https://t.co/RUvQifLZkU"
48,"Although many people are concerned about the safety of in-person voting during the COVID-19 pandemic, public health… https://t.co/Y030fwqGWP"
49,"An armed militia — or even a lone individual with ties to the militia movement — is not, of course, unique to 2020… https://t.co/ndu5v1rWkI"
50,State leaders accused the Postal Service of confusing voters. https://t.co/Lde0aKwYx8
51,As concern grows among researchers about the extent to which the novel coronavirus might be transmitted through the… https://t.co/mhpZWLa0kg
52,Public health experts have proposed a national COVID-19 strategy based on the Obama administration's HIV/AIDS strat… https://t.co/XXW3CMh62i
53,"""Without insights into where infection is spreading, you're flying blind."" https://t.co/go0blHYYYU"
54,New polling reveals that those with the smallest financial buffer have sustained a heavy blow. https://t.co/wRfV8xGR3r
55,U.S. Air Force veteran Jawanna Hardy knows the tragic story behind all of the young faces she sees in a memorial fo… https://t.co/aCyyO6CeVe
56,A tale of two campaigns is emerging ahead of the first face-to-face meeting in the general election between Pres. D… https://t.co/YRaexc4tBe
57,"Joe Biden urges senators to ""deescalate,"" listen to voters before Supreme Court confirmation vote: ""Just because yo… https://t.co/IHPQSvQhLR"
58,"Two new photos of Prince William and Kate, the Duke and Duchess of Cambridge, with their children have been release… https://t.co/8aAvsPw7sn"
59,A key Democrat on the Senate Judiciary Committee strongly disagreed with former Democratic nominee and Secretary of… https://t.co/IAY1cdsJCN
60,A key Republican member of the Senate Judiciary Committee argued Sunday that Judge Amy Coney Barrett's potential fu… https://t.co/4U8WF369eY
61,Onlookers cheered as a bridge inspector came to the rescue for a dog stranded on a ledge 120 feet above the Mississ… https://t.co/t65bk02j9L
62,"How to protect yourself from low air quality, pollution amid raging wildfires. https://t.co/gZZ7nMK99g"
63,"""A vote for Amy Coney Barrett is a dagger aimed at the heart of the healthcare protections Americans so desperately… https://t.co/bMz6nkvatF"
64,62% of adults worry that they or an immediate family member may catch COVID-19. Among likely voters who express thi… https://t.co/x5clGgM3oF
65,"Football great Joe Montana and his wife, Jennifer, faced down a would-be kidnapper at their Malibu home this weeken… https://t.co/8yMysJZt7H"
66,"With air and sea borders closed for months and eight cities barring people from entering or leaving, Morocco has be… https://t.co/M5GaoJbZT9"
67,The president has eschewed typical debate prep instead meeting with advisers. https://t.co/um2Dt0A3MS
68,NEW: The ballistics report from the Kentucky State Police could not determine that the boyfriend of Breonna Taylor… https://t.co/PxmDeS5KvH
69,"ALL OF THE LIGHTS: The Aurora Borealis lights dances across the horizon of Graceville, Minnesota, for a colorful li… https://t.co/4LLwWDFmAZ"
70,"Top curators weigh in on the role of art during coronavirus, racial reckoning. https://t.co/EGe5Rwf2u5"
71,At least 28 people were arrested overnight as civil unrest continued in Louisville over a grand jury's controversia… https://t.co/SqH0Ovevyu
72,"As people prepare to dig into their favorite Halloween candy, there's one treat with a new consumption warning for… https://t.co/a4ClDX4niS"
73,PITCH INVASION: This alpaca brought a soccer game to a halt for 15 minutes before a farmer tempted it back home wit… https://t.co/vTvlLr0PHE
74,Sen. Kamala Harris is uniquely positioned as a Democratic vice presidential nominee and member of the Senate Judici… https://t.co/SBsiVvjSht
75,54% of Americans support recent protests against police treatment of Black people. Eight in 10 supporters of these… https://t.co/msCqUfIPxa
76,"Tesla has announced new, internally-produced batteries for its electric cars, signaling a major shift from the auto… https://t.co/oGl9rHu4hp"
77,"Unusually hot zones in the ocean likely will become longer, more frequent. Via @InsideScience. https://t.co/k0bRCZDV6n"
78,"In less than two weeks, 72 women from across the country will traverse dirt trails, desert sand dunes and barren la… https://t.co/glrJdx7LrB"
79,"Pres. Donald Trump targets Biden's mental health in debate lead-up, despite aides' efforts to raise expectations. https://t.co/HFpIKID4nP"
80,"Hundreds of olive ridley sea turtles began their synchronized nesting, as they made their way up the beach to lay e… https://t.co/k1W5QukcNs"
81,RT @ABCPolitics: Senate Minority Leader Chuck Schumer: “A vote for Coney Barrett is a vote to strip away health care from over 100 million…
82,"A group of five women are inspiring as the first, all-female fire crew in the 57-year history of the Palm Beach Gar… https://t.co/nQhqkVIcGn"
83,"“No, because I believe first, that the whole process has been illegitimate,” Sen. Chuck Schumer says when asked if… https://t.co/Q4COFw4UPK"
84,"“Just tell the truth,” Joe Biden says when asked what he needs to accomplish to be successful during Tuesday’s pres… https://t.co/39RV1KwARh"
85,Americans by a nearly 20-point margin say the next Supreme Court justice should be left to the winner of the presid… https://t.co/uhoiMDLr7W
86,Joe Biden urges Senators to listen to voters before voting on confirmation of Amy Coney Barrett for the Supreme Cou… https://t.co/yG67XPXaQg
87,"Joe Biden: “President Trump can claim all he wants that he’a going to protect people with pre-existing conditions,… https://t.co/f4jcB7OhP0"
88,Joe Biden: “Never before in our nation’s history has a Supreme Court justice been nominated and installed while a p… https://t.co/M6Zh8SpYE8
89,Black residents discuss lasting injustices of urban renewal. https://t.co/DZCd2ysE9I
90,Sixteen people died in a coal mine in southwestern China because of excessively high levels of carbon monoxide. https://t.co/5ddOGUO2Qx
91,Air Force veteran aims to calm violence and help young victims in her community. https://t.co/zLdH5mKqWE
92,"Pres. Trump and Joe Biden are even, 49-49%, in households that include a veteran or active duty member of the milit… https://t.co/9c2A2fGpv8"
93,"AIR MARE: Lola, a horse who fell 60 feet down a ravine in an Orange County park, got airlifted to safety by the loc… https://t.co/zgPdnaHMvd"
94,"RT @ABCPolitics: .@TerryMoran travels to Michigan, the state that shocked Democrats in 2016 after Donald Trump became the first Republican…"
95,A Los Angeles Police Department Harbor Division veteran with more than 30 years of experience is recovering in the… https://t.co/OXSNwXiW8x
96,"Mark David Chapman, the man who killed John Lennon, said in parole hearing he wanted ""glory."" https://t.co/WRixO6K8Oz"
97,.@GStephanopoulos: “You have no problem with the idea a president nominating someone 38 days before an election wou… https://t.co/oAn848Vag6
98,"SOUND ON: An opera performance in Madrid, Spain had to be abandoned, after patrons protested over a lack of social-… https://t.co/mqxlQmv9jT"
99,WEATHER: The weather pattern is beginning to turn more conducive for fire development across parts of the Western U… https://t.co/r0qYzPALgR
100,".@GStephanopoulos: What does confirmation of judge Amy Coney Barrett mean for Roe v. Wade?

Sen. Mike Lee: “You can… https://t.co/QLiNULNhv2"
101,"RT @ThisWeekABC: “I think that would be an unfortunate step … I hope Democrats don’t take the majority,” GOP Sen. Mike Lee tells @GStephano…"
102,46% of likely voters plan to cast their ballot on Election Day; 50% plan to vote early or absentee. Pres. Trump lea… https://t.co/ApGMZbHOBT
103,"40% of Americans say the economy is in good shape, up from 31% just month, new @ABC News/WaPo poll finds. Pres. Tru… https://t.co/GEi7w2cpaf"
104,"“I think she's flat out wrong,” Sen. Durbin tells @GStephanopoulos on Hillary Clinton saying Biden “should not conc… https://t.co/WaZYTEC9YK"
105,"Joe Biden leads Pres. Trump on trust to handle crime and safety, 50-44%. Suburban women, a group Pres. Trump has fo… https://t.co/Nm82ofSRE9"
106,"“I certainly wish she would,"" Sen. Dick Durbin tells @GStephanopoulos when asked if Democrats will ask Barrett to r… https://t.co/gxZrIaEql5"
107,NEW: Democratic Sen. Dick Durbin tells @GStephanopoulos that Senate Democrats can “slow” the process of confirming… https://t.co/LPRwZLavW3
108,"Among those who don’t support Pres. Trump, 59% say his re-election would be a crisis for the country, according to… https://t.co/ygjlopFXZ8"
109,MEET ESHE: This two-month-old southern white rhinoceros calf merrily rolled around in the mud as her name was revea… https://t.co/vhteEPy0iJ
110,"RT @ThisWeekABC: After President Trump announced his nominee for the Supreme Court, how will Senate Democrats respond? @GStephanopoulos goe…"
111,"Joe Biden leads Pres. Trump nationally by 10 points among likely voters, new @ABC News/WaPo poll finds. https://t.co/odp40zGOtz"
112,Republicans push Amy Coney Barrett confirmation as Democrats criticize timing. https://t.co/I7R52KDAgS
113,"An unlawful assembly has been declared in Portland, Oregon, just hours after demonstrations earlier Saturday ended… https://t.co/cpJZnyoigt"
114,Three cases that hint at Amy Coney Barrett's views on policing. https://t.co/qmSe7KJ5YG
115,Democrats and Republicans are exchanging accusations of hypocrisy as they sling prior statements made on Senate con… https://t.co/oS0t9dPMJs
116,"""Doug thinks I woke him up, but he woke me up to my purpose in life.""

A black flight attendant and white airline C… https://t.co/6UkoyMLf3t"
117,"Faces of some of the more than 200,000 lives lost in the U.S. to the coronavirus pandemic. https://t.co/FQZPSrvnm6"
118,"Tesla has announced new, internally-produced batteries for its electric cars, signaling a major shift from the auto… https://t.co/evtwKuqMub"
119,"Pres. Trump and Joe Biden are even, 49-49%, in households that include a veteran or active duty member of the milit… https://t.co/YQNDxJzwVp"
120,Republicans push Amy Coney Barrett confirmation as Democrats criticize timing. https://t.co/8fFeDYcLWg
121,54% of Americans support recent protests against police treatment of Black people. Eight in 10 supporters of these… https://t.co/gxDnfp6nT4
122,"Pres. Donald Trump targets Biden's mental health in debate lead-up, despite aides' efforts to raise expectations. https://t.co/It9btnGDLq"
123,"A helicopter departs amid firefighting efforts against the Sears Fire in Arizona, that has now torched thousands of… https://t.co/OWNZWwXKQm"
124,62% of adults worry that they or an immediate family member may catch COVID-19. Among likely voters who express thi… https://t.co/IwsfUiKrAi
125,"MORE: A quarter of likely voters call the economy the top issue in their vote, and those economy-focused voters fav… https://t.co/DgCcgEOgfh"
126,"40% of Americans say the economy is in good shape, up from 31% just month, new @ABC News/WaPo poll finds. Pres. Tru… https://t.co/tvN1803a5c"
127,"Joe Biden leads Pres. Trump on trust to handle crime and safety, 50-44%. Suburban women, a group Pres. Trump has fo… https://t.co/BfYgtkyWr1"
128,"NEW: Among those who don’t support Pres. Trump, 59% say his re-election would be a crisis for the country, accordin… https://t.co/F6XqgpGLg7"
129,NEW: 46% of likely voters plan to cast their ballot on Election Day; 50% plan to vote early or absentee. Pres. Trum… https://t.co/WJGXs8VsCQ
130,"BREAKING: Joe Biden leads Pres. Trump nationally by 10 points among likely voters, new @ABC News/WaPo poll finds. https://t.co/oEcBfA1Hgf"
131,"As people prepare to dig into their favorite Halloween candy, there's one treat with a new consumption warning for… https://t.co/ECSKtaFMdI"
132,How 4 deeply rooted farms stayed strong for their communities amid COVID-19. https://t.co/9QgnghZ4uA
133,"Halloween will need to be done differently this year in order to keep people safe amid the coronavirus pandemic, ac… https://t.co/hPLUH9ssXA"
134,"""That realization—of not being alone—can be profoundly healing."" https://t.co/QsAiTnEgHV"
135,"""A vote for Amy Coney Barrett is a dagger aimed at the heart of the healthcare protections Americans so desperately… https://t.co/eHtJmTzQSc"
136,"A group of five women are inspiring as the first, all-female fire crew in the 57-year history of the Palm Beach Gar… https://t.co/gqWhX9xNQO"
137,"Arctic sea ice has melted to the second-lowest level in 42 years, according to the National Snow and Ice Data Cente… https://t.co/71zwQOUsgh"
138,"Faster, cheaper COVID-19 tests in danger of creating blindspot in data collection. https://t.co/vvRKYT1Diu"
139,"How to protect yourself from low air quality, pollution amid raging wildfires. https://t.co/s0x8aqIzj4"
140,Rural moms recovering from addiction struggle to stay connected during pandemic. https://t.co/Ha1XQfKaaE
141,Attorney General Bill Barr personally briefed Pres. Trump about the DOJ's investigation into a small number of ball… https://t.co/kmtwQb5CMT
142,"Top curators weigh in on role of art during coronavirus, racial reckoning. https://t.co/BIHqKRc9do"
143,After Texas authorities sent an urgent message about brain-eating amoeba found in a southeast county water's supply… https://t.co/krmGE2sHnj
144,"Pres. Donald Trump targets Biden's mental health in debate lead-up, despite aides' efforts to raise expectations. https://t.co/oCMUf1av4E"
145,"Authorities in Belarus are seen wrestling a flag from the hands of a prominent, 73-year-old opposition demonstrator… https://t.co/RHtP83XJKA"
146,WELCOME HOME: A U.S. Army soldier returned from deployment surprised his mother while she was at work for a stunnin… https://t.co/BnFODLJRUK
147,Former President Barack Obama will join Kamala Harris for a pair of fundraisers next week in support of the Democra… https://t.co/cQ9EWIDERn
148,"A helicopter departs amid firefighting efforts against the Sears Fire in Arizona, that has now torched thousands of… https://t.co/A460HspaPp"
149,Republicans push Amy Coney Barrett confirmation as Democrats criticize timing. https://t.co/6eynl8v7FR
150,"Tesla has announced new, internally-produced batteries for its electric cars, signaling a major shift from the auto… https://t.co/cOcLFblPCx"
151,"Faces of some of the more than 200,000 lives lost in the U.S. to the coronavirus pandemic. https://t.co/00N37cQdL2"
152,"""I love the United States, and I love the United States Constitution.""

Judge Amy Coney Barrett is announced by Pre… https://t.co/ENXnb0vgXy"
153,"Joe Biden is favored to win the 2020 election—but there’s still time for the race to tighten, according to… https://t.co/MIA8te3xrr"
154,Four Senate races to watch as Republicans rush to fill Justice Ruth Bader Ginsburg's seat. Via @FiveThirtyEight. https://t.co/feFVYlqA16
155,Support for the right to abortion at the Supreme Court already was limited. https://t.co/ATL7NTS43J
156,"""I lost my mother because no ambulance came on time to attend to her. The helplessness I felt, I don't wish that on… https://t.co/T2lhRwD5N5"
157,"RT @FiveThirtyEight: Amy Coney Barrett replacing RBG is one of the largest swings on the modern Supreme Court since 1953: 

https://t.co/SZ…"
158,Joe Biden’s supporters are far more likely to say the Supreme Court vacancy makes it more important to them that he… https://t.co/0lTDr6pNo3
159,"""Doug thinks I woke him up, but he woke me up to my purpose in life.""

A black flight attendant and white airline C… https://t.co/HzkA1YBQrX"
160,How to vote via absentee ballot in 2020 election on Nov. 3. https://t.co/akCDtdrpt2
161,"With less than two months to go before the U.S. presidential election, many Americans are worried about voting safe… https://t.co/vw5mTbSVdc"
162,"""I have no illusions that the road ahead of me will be easy,"" Judge Amy Coney Barrett says.

""I never imagined that… https://t.co/MclCQLrXBw"
163,Democrats and Republicans are exchanging accusations of hypocrisy as they sling prior statements made on Senate con… https://t.co/IVfPbvkLji
164,"Amy Coney Barrett on the late Justice Antonin Scalia: ""His judicial philosophy is mine, too.""… https://t.co/uXYK19Whbm"
165,"Kamala Harris: ""With the next Supreme Court Justice set to determine the fate of...preexisting health conditions, a… https://t.co/K4RBMy9uOO"
166,"Amy Coney Barrett remembers Justice Ruth Bader Ginsburg, and praises her ""long and deep friendship"" with Justice An… https://t.co/6KqAbQcKUC"
167,"NEW: Joe Biden on nomination of Amy Coney Barrett for the Supreme Court: ""The Senate should not act on this vacancy… https://t.co/VfVnW8VA1i"
168,"""I love the United States, and I love the United States Constitution,"" Amy Coney Barrett says after Pres. Trump ann… https://t.co/ofDqsz5ubX"
169,"Amy Coney Barrett, Pres. Trump's pick to fill Ruth Bader Ginsburg's Supreme Court seat: ""If the Senate does me the… https://t.co/kCx6Db3kAZ"
170,Pres. Trump lauds Amy Coney Barrett's qualifications ahead of an expected vote on her confirmation for the Supreme… https://t.co/HkCa0j5seK
171,"Pres. Trump on Amy Coney Barrett: ""I am supremely confident that Judge Barrett will issue rulings based solely upon… https://t.co/WGUSIivrFY"
172,MORE: The move sets up what promises to be a bitter confirmation fight less than two months before Election Day. https://t.co/qJAuDJPTUU
173,Pres. Trump reflects on Justice Ruth Bader Ginsburg at event announcing the nomination for her vacancy on the Supre… https://t.co/SYD42lOybt
174,Americans by a nearly 20-point margin say the next Supreme Court justice should be left to the winner of the presid… https://t.co/CVOWdf5HIP
175,BREAKING: Pres. Trump says he will nominate Judge Amy Coney Barrett to fill Ruth Bader Ginsburg's seat on the Supre… https://t.co/NVQCTkDglr
176,"""I stand before you today to fulfill one of my highest and most important duties under the United States Constituti… https://t.co/rTnuLJ8AK3"
177,"""I stand before you today to fulfill one of my highest and most important duties under the United States Constituti… https://t.co/DfDc6iqYiz"
178,ABC NEWS SPECIAL REPORT: Pres. Trump expected to nominate Amy Coney Barrett to fill Ruth Bader Ginsburg's Supreme C… https://t.co/4aLDizazDg
179,"SEEING DOUBLE: Residents of New South Wales witnessed a lightning show behind not one, but two rainbows after a sto… https://t.co/ycPyKq7Yve"
180,"While there is no hard data broadly tracking diversity and inclusion efforts, several experts told @ABC News that t… https://t.co/UE4A1ObOA4"
181,"""We're not saying you can't have these goods. We're just saying they're not going to be right at the eye level of y… https://t.co/T9XZ5Y4a0P"
182,"A plane carrying Pres. Trump's expected nominee to fill Ruth Bader Ginsburg's seat on the Supreme Court, Amy Coney… https://t.co/TOaCV7jce3"
183,"Aerial footage shows the stunning fall colors of trees in Northeast Kingdom, Vermont. https://t.co/dADZ2gJU2r https://t.co/2QmWSgYN0G"
184,Air Force veteran aims to calm violence and help young victims in her community. https://t.co/0ravbMIZh7
185,"The death of Supreme Court Justice Ruth Bader Ginsburg, the second woman to sit on the high court, felt like a pers… https://t.co/ijmwgl22SZ"
186,Police arrested a 25-year-old woman in a hit-and-run incident during demonstrations in Buffalo earlier this week ov… https://t.co/Vmz86pXkXV
187,NASA pledges to land the 1st woman on the moon by 2024. https://t.co/tdtxmNcoeq
188,"""I hope you never know the pain of your child being murdered 191 days in a row.""

Breonna Taylor's aunt, Bianca Aus… https://t.co/hfiUYpluxw"
189,Finland has deployed coronavirus-sniffing dogs at its main international airport in a four-month trial of an altern… https://t.co/FsafF6IHv7
190,Health officials issue a new warning against abusing the allergy medicine Benadryl after reports emerged of a so-ca… https://t.co/IUX6wJ3lpw
191,A Maryland man has been sentenced to one year in jail after he hosted two parties against the governor's COVID-19 l… https://t.co/yU7djp7pcG
192,"BABY BOOM: Zookeepers bottle-feed koala, kangaroo, and wallaby joeys as animal park welcomes adorable newborns.… https://t.co/5eEuq257bA"
193,NEW: Cynthia Herriott-Sullivan has been appointed Rochester's new interim police chief—the first woman to hold the… https://t.co/SZaubUghnV
194,"Is Ginsburg's death the end of Roe v. Wade?

 This time, some experts say, it could be. https://t.co/kp6TAuy83R"
195,"A scientist claims CDC ""slow-walked"" a study on masks until Pres. Trump wore one. https://t.co/SYFLShwVpl"
196,"SNACK ATTACK: This grizzly bear named ""Tundra"" at the Denver Zoo feasts on a host of snacks, including a peanut but… https://t.co/ujnscbb0FJ"
197,"People with substance use disorders may be more likely to become infected and die of COVID-19, according to a recen… https://t.co/atgWvG8MbL"
198,The Oregon State Authority reported 457 new cases on Friday—the single highest daily total since the pandemic began… https://t.co/098kytyJY8
199,There's one thing customers at a beauty store in Kentucky were not looking for in the aisles—a slithering snake.… https://t.co/HWKOqSIqg5
